record_type,sample,ride_count,metric,statistic,value,unit,duration_example_min,old_price_usd,new_price_usd,absolute_increase_usd,note
sample_summary,2025 pre-policy casual classic-bike rides,511765.0,duration_min,mean,27.414292735011838,minutes,,,,,"Single-Ride-equivalent standardized ride cost; scenario calculation, not an observed transaction price."
sample_summary,2025 pre-policy casual classic-bike rides,511765.0,duration_min,median,15.455566666666666,minutes,,,,,"Single-Ride-equivalent standardized ride cost; scenario calculation, not an observed transaction price."
sample_summary,2025 pre-policy casual classic-bike rides,511765.0,duration_min,p25,8.663983333333334,minutes,,,,,"Single-Ride-equivalent standardized ride cost; scenario calculation, not an observed transaction price."
sample_summary,2025 pre-policy casual classic-bike rides,511765.0,duration_min,p75,29.97955,minutes,,,,,"Single-Ride-equivalent standardized ride cost; scenario calculation, not an observed transaction price."
sample_summary,2025 pre-policy casual classic-bike rides,511765.0,billed_minutes,mean,27.91456039393081,minutes,,,,,"Single-Ride-equivalent standardized ride cost; scenario calculation, not an observed transaction price."
sample_summary,2025 pre-policy casual classic-bike rides,511765.0,billed_minutes,median,16.0,minutes,,,,,"Single-Ride-equivalent standardized ride cost; scenario calculation, not an observed transaction price."
sample_summary,2025 pre-policy casual classic-bike rides,511765.0,billed_minutes,p25,9.0,minutes,,,,,"Single-Ride-equivalent standardized ride cost; scenario calculation, not an observed transaction price."
sample_summary,2025 pre-policy casual classic-bike rides,511765.0,billed_minutes,p75,30.0,minutes,,,,,"Single-Ride-equivalent standardized ride cost; scenario calculation, not an observed transaction price."
sample_summary,2025 pre-policy casual classic-bike rides,511765.0,billed_minutes,sum,14285695.0,minutes,,,,,"Single-Ride-equivalent standardized ride cost; scenario calculation, not an observed transaction price."
sample_summary,2025 pre-policy casual classic-bike rides,511765.0,old_single_ride_equivalent_cost_usd,mean,2.3957280196965396,USD,,,,,"Single-Ride-equivalent standardized ride cost; scenario calculation, not an observed transaction price."
